🌟央視頻道🌟,#genre#
黑龙江卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=黑龙江卫视
辽宁卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=辽宁卫视
河北卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=河北卫视
山西卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=山西卫视
山东卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=山东卫视
深圳卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=深圳卫视
广西卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=广西卫视
云南卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=云南卫视
贵州卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=贵州卫视
四川卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=四川卫视
🌟香港频道🌟,#genre#
凤凰中文台,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯台,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港台,http://rihou.cc:555/tv/[Pd]凤凰香港
TVB华丽翡翠,http://rihou.cc:555/tv/[Pd]无线华丽
TVB星河,http://rihou.cc:555/tv/[Pd]无线星河
🌟臺灣頻道🌟,#genre#
中天新闻台,http://rihou.cc:555/tv/[Hv]中天新聞
中视经典台,http://74.91.26.218:82/live/ctvjd.m3u8
中视菁采台,http://74.91.26.218:82/live/ctvjc.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
台视综合台,http://74.91.26.218:82/live/ttvzh.m3u8
民视新闻台,http://74.91.26.218:82/live/ftvnews.m3u8
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
公视台语台,http://74.91.26.218:82/live/ptsty.m3u8
民电视,http://iptv.4666888.xyz/iptv2A.php?id=55
靖洋戏剧台,http://iptv.4666888.xyz/iptv2A.php?id=42
龙华电影,http://rihou.cc:555/tv/[Pd]龙华电影
🌟馬來頻道🌟,#genre#
马来TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
香港翡翠台,https://o11.163189.xyz/stream/tvb/fct/
马来华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
马来翡翠台,https://o11.163189.xyz/stream/live/jade/
马来TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
马来千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
马来国语AEC,https://o11.163189.xyz/stream/live/aec/
马来国语AEC,https://o11.163189.xyz/stream/live/aod/
马来爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
🌟經典頻道🌟,#genre#
星爷台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342412
英叔台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342421
发哥台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342387
成龙台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342386
王晶台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602058
漫威台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602034
宇宙台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342428
怪兽台,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059577
武侠台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342427
罪犯台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352962
枪战台,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059579
赛车台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11279247
热血台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352934
盗墓台,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059552
贺岁台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11601971
喜剧台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352877
港片台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602043
国产台,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352973
🌟鳳凰頻道🌟,#genre#
产品研发中,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV1
🌟紅貓頻道🌟,#genre#
产品开发中,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV1
🌟數字頻道🌟,#genre#
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub

