温馨提示-歌曲一般切EXO硬解,#group#
CCTV4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-4K-HD/G_CCTV-4K-HD.m3u8
北京卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140
东方卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
浙江卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.65:5140
江苏卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.64:5140
湖南卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
广东卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
深圳卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.104:5140
山东卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.66:5140
四川卫视4k,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
河北4K,http://106.53.99.30/tv/api.php?id=hebtv4k
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
深圳电视剧,http://nn.7x9d.cn/深圳最新.ph4fwpc174w60zvg
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州4K,http://106.53.99.30/tv/api.php?id=sztv4k
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视4K,https://migu.188766.xyz/?migutoken=c710d282c030c9c3eb98ae9c6387fdcf&id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%864K&pp=1
湖南卫视4K,http://101.35.240.114:88/live.php?id=湖南卫视4K
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
浙江卫视4K,https://play-qukan.cztv.com:443/live/1758879019692345.m3u8
浙江卫视4K,http://101.35.240.114:88/live.php?id=浙江卫视4K
东方卫视4k,https://iptv.gstory.cn/Cinetry/651632648
东方卫视4k,http://69.30.246.194/live/dfws.m3u8
东方卫视4k,https://iptv.catvod.com/live.php?id=东方卫视&line=1
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
四川卫视4K,http://111.221.137.234:44330/tsfile/live/0137_2.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视4K,http://61.163.181.78:85/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视4k,http://106.53.99.30/tv/api.php?id=dfws4k
北京卫视4k,http://106.53.99.30/tv/bj.php?id=bjws4k
湖南卫视4k,http://106.53.99.30/tv/api.php?id=hnws4k
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
赛事咪咕播4k,http://rih

CCTV数字,#genre#

CCTV卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
CCTV卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV央视台球,http://www.qfly9236.cn:8888/rtp/239.253.93.231:6409
CCTV央视台球,http://www.dwphic.com:9999/rtp/239.69.1.98:10224
CCTV央视台球,http://www.qfly9236.cn:8888/rtp/239.253.93.231:6409
CCTV央视台球,http://www.dwphic.com:9999/rtp/239.69.1.98:10224
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV第一剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.18:6079
CCTV第一剧场,http://www.dwphic.com:9999/rtp/239.69.1.74:10084
CCTV第一剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.18:6079
CCTV第一剧场,http://www.dwphic.com:9999/rtp/239.69.1.74:10084
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV风云剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.22:6073
CCTV风云剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.22:6073
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV怀旧剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.98:6120
CCTV怀旧剧场,http://www.dwphic.com:9999/udp/239.69.1.89:10174
CCTV怀旧剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.98:6120
CCTV怀旧剧场,http://www.dwphic.com:9999/udp/239.69.1.89:10174
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV风云足球,http://www.qfly9236.cn:8888/rtp/239.253.92.110:8061
CCTV风云足球,http://www.dwphic.com:9999/rtp/239.69.1.81:10126
CCTV风云足球,http://www.qfly9236.cn:8888/rtp/239.253.92.110:8061
CCTV风云足球,http://www.dwphic.com:9999/rtp/239.69.1.81:10126
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV风云音乐,http://www.qfly9236.cn:8888/rtp/239.253.92.111:8060
CCTV风云音乐,http://www.dwphic.com:9999/udp/239.69.1.90:10180
CCTV风云音乐,http://www.qfly9236.cn:8888/rtp/239.253.92.111:8060
CCTV风云音乐,http://www.dwphic.com:9999/udp/239.69.1.90:10180
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV世界地理,http://www.qfly9236.cn:8888/rtp/239.253.92.113:8066
CCTV世界地理,http://www.dwphic.com:9999/rtp/239.69.1.91:10186
CCTV世界地理,http://www.qfly9236.cn:8888/rtp/239.253.92.113:8066
CCTV世界地理,http://www.dwphic.com:9999/rtp/239.69.1.91:10186
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV电视指南,http://www.qfly9236.cn:8888/rtp/239.253.92.17:6078
CCTV电视指南,http://www.dwphic.com:9999/udp/239.69.1.87:10162
CCTV电视指南,http://www.qfly9236.cn:8888/rtp/239.253.92.17:6078
CCTV电视指南,http://www.dwphic.com:9999/udp/239.69.1.87:10162
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/bqkj.m3u8?auth=testpub
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/bqkj.m3u8?auth=testpub
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
CCTV兵器科技,http://www.dwphic.com:9999/rtp/239.69.1.79:10114
CCTV兵器科技,http://www.dwphic.com:9999/rtp/239.69.1.79:10114
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV高尔夫网球,http://www.qfly9236.cn:8888/rtp/239.253.92.117:8062
CCTV高尔夫网球,http://www.dwphic.com:9999/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://www.qfly9236.cn:8888/rtp/239.253.92.117:8062
CCTV高尔夫网球,http://www.dwphic.com:9999/rtp/239.69.1.83:10138
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV央视文化精品,http://www.qfly9236.cn:8888/rtp/239.253.92.25:6104
CCTV央视文化精品,http://www.qfly9236.cn:8888/rtp/239.253.92.25:6104
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV女性时尚,http://www.qfly9236.cn:8888/rtp/239.253.92.249:6103
CCTV女性时尚,http://www.dwphic.com:9999/udp/239.69.1.86:10156
CCTV女性时尚,http://www.qfly9236.cn:8888/rtp/239.253.92.249:6103
CCTV女性时尚,http://www.dwphic.com:9999/udp/239.69.1.86:10156

大杂烩-全能看,#genre#

CCTV1-2025.9.3阅兵,http://jx.999315.xyz/yzzy/20250903/20785_ad349260/index.m3u8
CCTV13-2025.9.3阅兵,https://vip.dytt-cine.com/20250903/54616_ce842c8a/index.m3u8
CCTV13-正义必胜晚会,https://jx.999315.xyz/yzzy/20250905/21018_6395ac11/index.m3u8
巴黎奥运会开幕式,https://res.cctvnews.cctv.com/video/3005/record/cctv/merge12/1266629258108481540511013005/aa9f232ba4be4c49921baae0c27194dd-4.m3u8
全运开幕翡翠,http://rihou.cc:555/tv/[mv]开幕翡翠
全运开幕咪咕,http://rihou.cc:555/tv/[mv]开幕咪咕
全运闭幕咪咕,http://rihou.cc:555/tv/[mv]闭幕咪咕
万辉翡翠台庆,http://rihou.cc:555/tv/[mv]翡翠台庆
万辉走红地毯,http://rihou.cc:555/tv/[mv]走红地毯
万辉颁奖典礼,http://rihou.cc:555/tv/[mv]颁奖典礼
万辉礼红地毯,http://rihou.cc:555/tv/[mv]礼红地毯
传奇剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_1052_720P_t10/c54_fast_1052_720P_t10.m3u8?d
古装剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_947_1080P_t10/c58_fast_947_1080P_t10.m3u8?d
军旅剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_700_1080P_t10/c54_fast_700_1080P_t10.m3u8?d
家庭剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_999_1080P_t10/c59_fast_999_1080P_t10.m3u8?d
古装妖魔,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_947_1080P_t10/c58_fast_947_1080P_t10.m3u8?d
家庭剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_999_1080P_t10/c59_fast_999_1080P_t10.m3u8?d
泰语剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_949_1080P_t10/c58_fast_949_1080P_t10.m3u8?d
大家剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_975_1080P_t10/c58_fast_975_1080P_t10.m3u8?d
爱情生活,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_967_1080P_t10/c59_fast_967_1080P_t10.m3u8?d
周星驰电影,https://isus.cc/php/huya.php?id=11336587
刘德华电影,https://isus.cc/php/huya.php?id=11342424
林正英电影,https://isus.cc/php/huya.php?id=11342421
甄子丹电影,https://isus.cc/php/huya.php?id=11352935
沈腾电影,https://isus.cc/php/huya.php?id=11601968
黄渤电影,https://isus.cc/php/huya.php?id=11352876
周润发电影,https://isus.cc/php/huya.php?id=11342387
成龙电影,https://isus.cc/php/huya.php?id=11342386
古天乐电影,https://isus.cc/php/huya.php?id=29982675
中国电影频流,http://tl.061833.xyz/tl/null-6
华数影院1,http://123.115.206.166:7151/hls/44/index.m3u8
华数影院2,http://123.115.206.166:7151/hls/45/index.m3u8
华数影院3,http://123.115.206.166:7151/hls/46/index.m3u8
华数影院4,http://123.115.206.166:7151/hls/47/index.m3u8
AXN电影,http://tl.061833.xyz/tl/axn
KIX_韩综,http://tl.061833.xyz/tl/kix
ANIMAX,http://tl.061833.xyz/tl/animax
rock娱乐,http://tl.061833.xyz/tl/rockaction
rock娱乐,http://tl.061833.xyz/tl/rockaction
有线亚剧,http://rihou.cc:555/tv/[Pd]有线亚剧
龙华电影,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧,http://rihou.cc:555/tv/[Pd]龙华戏剧
无线娱乐,http://iptv.4666888.xyz/iptv2A.php?id=36
无线千禧,http://iptv.4666888.xyz/iptv2A.php?id=22
纬来电影,http://iptv.4666888.xyz/iptv2A.php?id=40
天映频道1台,https://cdn10.163189.xyz/stream/163189/typd/
天映频道2台,http://o11.163189.xyz/stream/live/typd/
天映经典,https://cdn10.163189.xyz/stream/163189/ccm/
HBO,https://hls.iill.top/api/HBO/index.m3u8
HBO Hits,https://hls.iill.top/api/HBO-Hits/index.m3u8
HBO Family,https://hls.iill.top/api/HBO-Family/index.m3u8
HBO Signature,https://hls.iill.top/api/HBO-Signature/index.m3u8
NOW星影,http://rihou.cc:555/tv/hktv%2Ftb19nowxy56
NOW星影(国),p3p://focus169.org:47555/693d2c48000ebc01f0e30d165ba336d4
NOW爆谷,http://rihou.cc:555/tv/hktv%2Ftb19nowbg56
NOW爆谷(国),p3p://focus169.org:47555/683c6792000d325d05e9065a074c5f94
HUB如意台,http://rihou.cc:555/tv/hktv%2Ftbbhubjy56
HUB娱家台,http://rihou.cc:555/tv/hktv%2Ftb19tvbzt56
HUB都会台,http://rihou.cc:555/tv/hktv%2Fbtw856356
曼迪日本台,http://rihou.cc:555/tv/hktv%2Fbtw856456
BBC Earth,https://hls.iill.top/api/BBC-Earth/index.m3u8
BBC Lifestyle,https://hls.iill.top/api/BBC-Lifestyle/index.m3u8
Discovery,https://hls.iill.top/api/Discovery/index.m3u8
Football-FYtv,http://iptv.4666888.xyz/iptv2A.php?id=4
1905环球电影,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905b
1905华语电影,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
1905环球经典,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
LoveNatureHD,http://tl.061833.xyz/tl/lovenaturehd
地球大自然,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist540p.m3u8
地球大自然,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist540p.m3u8
经典影艺,rtmp://live.gxrb.com.cn/pull/red_movies_0501?m3u8?key=txiptv
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
北京淘电影,http://api.kkhk.itv888.vip:8080/streams/6403327f992/index.m3u8
峨眉电影,http://118.122.144.115:8888/newlive/live/hls/32/live.m3u8$四川电信酒店
峨眉电影,http://183.220.20.17:4321/udp/239.11.0.11:5140$四川移动
中國電影頻道,http://tl.061833.xyz/tl/null-6
每日经济,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8
澎湃景区,https://play-a2.quklive.com/live/1765245429980053.m3u8
新视觉HD,http://221.7.49.226:50085/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0
新视觉HD,http://gat.bkpcp.top/ymg.php?id=mlzq
新视觉HD,http://t.061899.xyz/tl/dq.php?id=mlzq
中国天气,http://111.8.242.102:9999/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://113.26.251.182:8009/hls/84/index.m3u8
东方财经,http://111.8.242.102:9999/tsfile/live/1093_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
中国天气,http://221.7.49.226:50085/tsfile/live/0018_8.m3u8?key=txiptv&playlive=1&authid=0$酒店线路
中国天气,http://plex.home.yulei.online:9999/rtp/226.0.2.103:8736$山西联通
每日经济,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8
乐游,http://113.26.251.182:8009/hls/85/index.m3u8
乐游,http://111.8.242.103:9999/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
书画,http://111.8.242.102:9999/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
动漫秀场,http://113.26.251.182:8009/hls/80/index.m3u8
动漫秀场,http://111.8.242.103:9999/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
天元围棋,http://111.8.242.102:9999/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
欢笑剧场,http://111.8.242.102:9999/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
都市剧场,http://113.26.251.182:8009/hls/78/index.m3u8
都市剧场,http://111.8.242.102:9999/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
游戏风云,http://113.26.251.182:8009/hls/81/index.m3u8
游戏风云,http://111.8.242.102:9999/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
生活时尚,http://111.8.242.102:9999/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
重温经典,http://111.8.242.102:9999/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
法制天地,http://111.8.242.103:9999/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0 # SD 640x360
吉林纪录片,http://lsfb.avap.jilintv.cn/zqvk7vpj/channel/da805d8d77a24db8aaa62328eb6d874e/index.m3u8
朝天综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel104601/playlist.m3u8
萧山生活,https://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
黑龙江影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8
文化影视频道,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
无锡娱乐,https://stream.thmz.com/wxtv2/playlist.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
湖州文化娱乐,https://hzcm-live.media.hugd.com/613c47f0ab0d4eaa98b21378d0db6ded/0051d31c9dd543a7825eea4e49675b2a.m3u8?auth_key=2277598059-0a5ebfa1c0dc4671b42a60810fc37039-0-fa625b7d1feab612062453c12e3c8887
功夫台,http://tl.061833.xyz/tl/null-17
千禧经典,http://pull-vivek.speedws.com/live/aaamqxjd.flv
华语剧台,http://pull-vivek.speedws.com/live/aaahyjt.flv
亚洲剧台,http://pull-vivek.speedws.com/live/aaayzjt.flv
黄金华剧台,http://pull-vivek.speedws.com/live/aaahjhj.flv
黄金翡翠台,http://pull-vivek.speedws.com/live/aaahjfc.flv
戏曲台,http://pull-vivek.speedws.com/live/aaaxqt.flv
SUPER FREE,http://pull-vivek.speedws.com/live/aaaSUPERFREE.flv
美亚电影台,http://pull-vivek.speedws.com/live/aaamydy.flv
PopC电影,http://pull-vivek.speedws.com/live/aaapopc.flv
河南象视界,http://1.94.31.214/php/hntv.php?id=xsj
戏剧影视,http://xatv-yt.xiancity.cn/live/4/index.m3u8
点掌财经,https://volcanopull.aniu.tv/live/aniu2/index.m3u8
INBM证券服务,https://hlss.gstv.com.cn:443/se0rch/20sv46.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8$官网
国际空间站,https://v.cdnlz12.com/20230913/10341_d0be8370/index.m3u8
LoveNatureHD,http://tl.061833.xyz/tl/lovenaturehd
金光布袋戏,http://o11.163189.xyz/stream/live/jgbdx/
ASTROAOD,http://o11.163189.xyz/stream/live/aod/
ASTROAEC,http://o11.163189.xyz/stream/live/aec/
ASTROQJ,http://o11.163189.xyz/stream/live/qj/
ASTRO欢喜台,http://o11.163189.xyz/stream/live/hxt/
爱奇艺,http://o11.163189.xyz/stream/live/iqiyi/
爱奇艺,http://o11.163189.xyz/stream/live/iqiyi/
Y+剧场,http://hms3659nc3747353871.live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/1.m3u8?tenantId=8601&accountinfo=~~V2.0~SSxnh2gPZaV_9wZMz86ofwc38bf04ecfc078f584095a9c6e91b9e1~3twbaBwUaqzfkJ5qW9C0gp1C11OJXhanim-P8XrfoHFX-jV3R0FL2wbo-VR8pOhzd5938d01ed8f640cebb709a281e7b1d3~ExtInfo9W1qynAo8QtSBzK-JlHBbQ3bb1f3410d135b117fdf58086980a86d:20240603131532:UTC,c864060416ccf5986b3e5940417477879245774,117.148.130.144,20240603131532,4444444684,c864060416ccf5986b3e5940417477879245774,-1,0,1,,,2,1000000201,,,2,23,0,241,9ec0a2dcdcfd4259318d50a38cde552c,,,1,1,140151867,END&fbl=
JJ斗地主,http://iptv77.iptv66.eu.org:35455/huya/jjworld
JJ斗地主,https://live.ottiptv.cc/yy/1354650274
JJ掼蛋精英赛,https://live.ottiptv.cc/yy/1356356563
JJ斗地主(广东),https://live.ottiptv.cc/yy/1355485545
JJ斗地主(冠军杯),https://live.ottiptv.cc/yy/1355485524
JJ斗地主(冠军杯精选),https://live.ottiptv.cc/yy/1354650274
户外极限运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
